full_date,date,weekday,time,mood,activities,note_title,note
2023-03-25,Mar 25,Saturday,9:37 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | water goal | Pickle Ball | mountain dew | prayer | Spirtual Exercises | melatonin  | tv show,"","Slept in | Jon and I won the pickleball intramural tournament * | NVMe drive came early | was able to get my pc all ready to go | struggles with # "
2023-03-24,Mar 24,Friday,11:12 PM,meh,work | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Rowing | no sugary treats | Dinner with friends  | prayer | Spiritual Direction | Spirtual Exercises,"","Will took me to get pc back | showed Lark sales people my class schedule heatmap | NVMe card not showing up then realized it got damaged by the cooler leaking | bit of a breakdown before rowing when finding that out | rowing didn’t go too great | idk if this is the sport for me anymore | have a plan for pc"
2023-03-23,Mar 23,Thursday,10:09 PM,okay,work | friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | Rowing | prayer | Spirtual Exercises | Watched Sports,"","Rowing workout at Straz | more notes on Joseph’s Dream | mid term presentation in COEN | math hw during work | worked on class schedule project | Sophie and Connor took me to pc parts to get computer | complications with operating system and told him to replace cooling system | hung out with Tess and Jon | looked down upon for my viewpoint on ChatGPT as a tool"
2023-03-22,Mar 22,Wednesday,10:44 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | floss | water goal | Rowing | Dinner with friends  | prayer | Spirtual Exercises | tv show,"","Had some free time | finished first reimagining gospel video and posted it | worked on Daylio project | rowing practice | did terrible first time on water | biked to and from practice | dinner with Emma Annie and Riley | more Daylio project * | GPT makes coding so fun"
2023-03-21,Mar 21,Tuesday,11:52 PM,okay,work | friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | Log Rolling | Rowing | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises,"","Speed interval row workout | talked to Sophie for a bit at plex | almost late to class | forgot to do COEN assignment but was able to turn in late | little overwhelmed with having so much to do | idea at work to figure out most optimal time to call leads | worked on audio editing for Reimagine project | log rolling | lost to Ethan in a match | no one could beat me in sitting competition "
2023-03-20,Mar 20,Monday,10:30 PM,okay,friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | prayer | Spiritual Direction | Clean Mind Day and Night | Reflection | tv show,"","Got RAM but pc didn’t start | worked on audio for Reimagine project | Connor and Ian took me to place for me to drop off pc | rowing practice | it was just rigging the boats | bathroom flood"
2023-03-19,Mar 19,Sunday,11:34 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 6 Hours | lotion | floss | chest / core | gym | Rowing | no sugary treats | alcohol | prayer | Clean Mind Day and Night | Spirtual Exercises | reading,"","Woke up super early to take train | rowing workout at Straz | trying to get back to normal | computer build | Marquette game had people over | struggled with computer build and hated doing it | hopefully it works | couldn’t go to bed early "
2023-03-18,Mar 18,Saturday,11:36 PM,Solid,friends | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | mountain dew | Dinner with friends  | alcohol | church | prayer | Confession | Clean Mind Day and Night | Spirtual Exercises,"","McDonalds 5 Guys Taco Bell with Jude | shopping | mass | Salvation Army found some good clothes | ran to catch bus but forget backpack | hard dew felt buzzed | Walgreens with Jude | found out Jude has a sexual life style "
2023-03-17,Mar 17,Friday,11:59 PM,Solid,friends | Screen Time 5 Hours | lotion | floss | prayer | Clean Mind Day and Night | Spirtual Exercises,"","Created logo and banner for YouTube channel | Chat GPT4? | art institute with Jude and Gabriella | Jawny concert with Jude"
2023-03-16,Mar 16,Thursday,11:09 PM,Solid,friends | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | mountain dew | Dinner with friends  | alcohol | prayer | Clean Mind Day and Night | Spirtual Exercises | Watched Sports,"","Worked on ignatian contemplation project | lunch with Jude and Tess at Mexican place | thrifting | they were making fun of me for my watch digging into my skin | hard Dew with Jude first alcoholic beverage "
2023-03-15,Mar 15,Wednesday,10:13 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | chest / core | no sugary treats | Dinner with friends  | prayer | Clean Mind Day and Night | Spirtual Exercises,"","Ignatian description project * | pretty much done writing Marys visit with Elizabeth | train to Chicago | saw Jude for first time since Aug 21’ | Noah’s place | hungry | grocery shopping | watched terminator | rough living set up"
2023-03-14,Mar 14,Tuesday,9:42 PM,okay,work | Milwuakee | Screen Time 5 Hours | lotion | floss | water goal | chest / core | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | reading,"","Hard time focusing in prayer | AWS Innovation | work | LinkedIn post about AWS event using GPT* | waited for an hour in lobby for Amazon delivery | worked on revamping Daylio project "
2023-03-13,Mar 13,Monday,8:00 PM,Solid,friends | movie | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | Pickle Ball | Rowing | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming,"","Rowing workout | Mountain Dew commented on Instagram | realized I ordered a motherboard that wouldn’t work and had to fix it | finished Theo paper at brew | finished Last Song project | won a solo Fortnite game | Greg took me to Pickleball | first time with new racket and it made my left hand better | watched Ex Machina with Sydney *"
2023-03-12,Mar 12,Sunday,11:17 PM,okay,friends | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | Rowing | no sugary treats | church | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming | tv show,"","8 am mass alone | improved last song project | mind spinning so fast with ai stuff hard time focusing during prayer | row workout at plex * | Collectivo by lake to read about Envy and write colloquy | called Mom and Dad briefly during day | found apartment I want to live in called Urbanite | ChatGPT diagnosed my knees with PFPS | fortnite with Jude | called uncle Steve asking about computers | decided I’m pretty much going to rebuild whole pc"
2023-03-11,Mar 11,Saturday,8:53 PM,okay,work | # | Milwuakee | Grocery Store | Screen Time 5 Hours | lotion | floss | biking | chest / core | mountain dew | prayer | Spirtual Exercises | reading | tv show,"","Bike ride to Walmart | couldn’t bike very far bc of the snow | work | ai avatars | pretty much finished with last song project | leadership award essay with chatGPT | still thinking a lot about AI | want to hang out with Sydney but nervous about it | could not fall asleep"
2023-03-10,Mar 10,Friday,10:58 PM,Solid,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 2 Hours | lotion | floss | water goal | Rowing | no sugary treats | prayer | Spiritual Direction | Spirtual Exercises | melatonin  | gaming,"","Spiritual direction for an hour talking about God’s will an AI | really good prayer *| rowing machine at nest was clicking and didn’t go well | lunch with Gabriella | work | used ChatGPT to write a ton of code | finished last song project | talked to Val about the AI | fortnite with Jude Jacob and Cameron | won a ton of games | hard find time sleeping again"
2023-03-09,Mar 9,Thursday,11:35 PM,okay,work | friends | school | Milwuakee | Screen Time 4 Hours | floss | water goal | no sugary treats | prayer | Church group | Clean Mind Day and Night | Spirtual Exercises | melatonin ,"","Mom tore meniscus | Overwhelmed by how impactful ChatGPT is | bot can write a Star Wars homily | worked on mid term for database almost all of work | RCIA actually got to stay whole time | was pretty quiet | spent hours on Dalle2 making AI art some of which I really liked *"
2023-03-08,Mar 8,Wednesday,10:06 PM,good,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | water goal | Rowing | prayer | Clean Mind Day and Night | Spirtual Exercises | tv show,"","Scheduled flight with NM | stuck on math problem until office hours | Chat GPT is going to change so much | so many fun things to do on it | interview about why I didn’t choose ELead and that was a really good time | rowing practice was super light | good team dinner * | really starting to get to know teammates | Emma?"
2023-03-07,Mar 7,Tuesday,11:55 PM,Solid,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | Advil | water goal | Log Rolling | prayer | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Meeting with COEN group | work | fortnite with Jude Jacob and Cameron | ice cream with Izzy at her apartment | log rolling | felt like myself | hung out with Sara"
2023-03-06,Mar 6,Monday,10:46 PM,good,friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | chest / core | Rowing | no sugary treats | Dinner with friends  | prayer | Spiritual Direction | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Class schedules came out | Theo class | got to tell Steve things were going well in spiritual direction | rowing practice | Claire S joined | coach said highlight of his week was me joining rowing * | dinner with team after | fortnite with Jude Jacob and Cameron *"
2023-03-05,Mar 5,Sunday,9:32 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 6 Hours | lotion | floss | water goal | Log Rolling | church | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming | tv show,"","Felt like passing out at mass but Sara helped me out | physically exhausted | log rolling tournament at ocon | didn’t do well in tourny and was screwed by bracket | FaceTime with Aunt Jen Tina and Bubba | checkmate app most addicting app ever * | dmed Jude a lot today "
2023-03-04,Mar 4,Saturday,8:17 PM,almost Rad,friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | floss | Lip Health | water goal | Rowing | mountain dew | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming | tv show,"","Rowing practice | golf themed competition that I got first place in 🥳 * | was so exhausted after | won green coat | donated blood right after with Sidney and Anika | Chick-fil-A with Gabriella Will Joe Marco Tess B Raina and Steven | had a good time with Will | so tired from morning | chilled out for rest of day with some reading, Hogwarts Legacy, and Man in High Castle "
2023-03-03,Mar 3,Friday,10:25 PM,Solid,work | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | water goal | Rowing | no sugary treats | Dinner with friends  | church | prayer | Spiritual Direction | Clean Mind Day and Night | Spirtual Exercises | reading | tv show,"","Spiritual direction with Romano and talked to Claire K a little | last song in album data project from Sophie | gave a really good tour and a lease will get signed | rowing practice | dinner at commons after "
2023-03-02,Mar 2,Thursday,10:16 PM,okay,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | prayer | Clean Mind Day and Night | Spirtual Exercises | tv show,"","Felt super motivated about rowing after prayer | rcia team meeting about lgbt stuff and Justice | hang out with Tess was one of the best Thursdays we’ve had *"
2023-03-01,Mar 1,Wednesday,10:10 PM,good,friends | school | walk with duns | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | chest / core | gym | Rowing | no sugary treats | Dinner with friends  | prayer | Church group | Clean Mind Day and Night | Spirtual Exercises | tv show,"","RCIA with Steve and Connor | very much dislike my math homework | walk with Duns was a good time | log rolling officer photos | rowing practice was amazing * | felt my confidence and willingness to open up to increase | ignite | sat with Lexi and her friends | asked a bold question "
2023-02-28,Feb 28,Tuesday,11:48 PM,okay,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | gym | Log Rolling | no sugary treats | prayer | Spirtual Exercises | reading | tv show,"","I feel like Im in a rebuild | Boring day | didn’t plan on participating at log rolling practice but competed and won the mini tournament * | cut leg on leg | obvious Sara will never have feelings for me based on her reactions to the new guys | met Kendall "
2023-02-27,Feb 27,Monday,10:21 PM,Solid,school | Milwuakee | Screen Time 4 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Rowing | no sugary treats | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming,"","Rain which was negative value | frustrated with hdmi cord and math homework | went to Theo class late bc I saw Emma was there alone | rowing practice was awesome * | I think I’ll really like the sport | worried about hip"
2023-02-26,Feb 26,Sunday,9:37 PM,good,friends | Milwuakee | < 15 mins on Instagram | Grocery Store | Screen Time 3 Hours | lotion | floss | water goal | chest / core | gym | Rowing | no sugary treats | Dinner with friends  | church | prayer | Spirtual Exercises | reading | gaming | tv show,"","Mass with just Sara | tried rowing at lark and it went well | first Sunday of no music | great trip to Elm Grove | went to Starbucks and read about morality of dropping the nuke and it was really interesting | Trader Joe’s | beat main quest on Harry Potter | dinner at Gesu with talk about discernment | texting Sydney, she might like me but she’s not Catholic "
2023-02-25,Feb 25,Saturday,9:27 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | Screen Time 2 Hours | lotion | floss | Lip Health | Advil | water goal | biking | chest / core | gym | mountain dew | church | prayer | Spirtual Exercises | reading | gaming | tv show,"","Dream about Michelle | idea to join rowing in prayer | morning mass | brunch with Will his Dad and Caroline, place called brunch | bike ride * | lots of Hogwarts Legacy | anxiety before bed "
2023-02-24,Feb 24,Friday,9:40 PM,okay,work | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | water goal | chest / core | gym | prayer | Spiritual Direction | Clean Mind Day and Night | Spirtual Exercises | reading | gaming | tv show,"","Spiritual direction with Romano | really down on myself in prayer | lunch with Gabriella | pizza during work | started man in high castle "
2023-02-23,Feb 23,Thursday,10:12 PM,okay,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | water goal | chest / core | gym | prayer | Church group | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Prayer made me anxious about having something missing in my life | seeing Sophie during RCIA hurt a little | came back from class to RCIA and hung out a little *| hung out with Tess * "
2023-02-22,Feb 22,Wednesday,9:03 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | water goal | no sugary treats | church | prayer | Church group | Clean Mind Day and Night | Spirtual Exercises | reading | gaming,"","Ash Wednesday | math class canceled | hung out in campus ministry with Claire K and choir people* | noon mass | good V&V class with Sara | PT clinic; not very promising | ignite prayer service with Sara | made it with only eating lunch | with so little going for me more dependent on God"
2023-02-21,Feb 21,Tuesday,11:55 PM,meh,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | Lip Health | water goal | chest / core | gym | Log Rolling | Spin Bike | mountain dew | church | prayer | Confession | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Woke up at 5 | lark gym that early | 7 am mass | scheduled PT appt | don’t know what we’re doing with projects in COEN | hit a wall during work | confession | went to get Baja but drive thru only | had to spend $10 for Grubhub | hate database class now | tired of everything about school | log rolling was decent hanging out with Sara and Maeve | didn’t get to walk back with Sara; sad walk back | I have feelings for Sara which just makes everything worse | also hip hurt after practice | can’t catch any breaks | despair "
2023-02-20,Feb 20,Monday,8:01 PM,bad,friends | school | Milwuakee | Screen Time 2 Hours | lotion | Advil | Sick | chest / core | gym | no sugary treats | prayer | Spiritual Direction | Spirtual Exercises | melatonin ,"","Heavy heart in morning | then my heart was too fast paced with anger? | found out Sophie and Connor are going on Salt & Light retreat which made me really upset | stuck on math problem and office hours wasn’t super helpful | almost dead silent in virtues and vices | Sara asked if I was ok twice and second time I said no but it’s fine | almost cried in class | really good spiritual direction * | Bible study with Peter | Greg picked me up but Pickleball was canceled and I really needed it | despair "
2023-02-19,Feb 19,Sunday,8:14 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | Lip Health | Sick | water goal | chest / core | gym | church | prayer | Clean Mind Day and Night | Spirtual Exercises | reading | gaming,"","Woke up at 6 and went to gym | mass with Sara & Will | feelings for Sara that I need to repress | can’t progress on math hw | lunch at Kopps with Gabriella Joe Tess and Noah; it was awkward and didn’t really enjoy the food | I don’t like food anymore? | Hogwarts game for most of rest of day | feeling aimless"
2023-02-18,Feb 18,Saturday,9:31 PM,okay,movie | Milwuakee | Screen Time 3 Hours | lotion | floss | Sick | water goal | mountain dew | prayer | retreat | Clean Mind Day and Night | Spirtual Exercises | gaming,"","Woke up not feeling sick | good spiritual exercises prayer * | RCIA retreat; guest house; found out Sophie is officially dating Connor and they are spending the night at Sophie’s house | awkward walking back behind Sophie and Kaylee as they talk about relationships | watched Mr.Harrigan’s phone and are ice cream "
2023-02-17,Feb 17,Friday,9:10 PM,okay,movie | Milwuakee | < 15 mins on Instagram | Screen Time 7 Hours | lotion | floss | Advil | Sick | water goal | no sugary treats | prayer | Spiritual Direction | Spirtual Exercises | reading | gaming,"","Sick canceled all activities planned | virtual spiritual direction with Romano | first spiritual exercises prayer | video games and watched Revenge of the Sith "
2023-02-16,Feb 16,Thursday,9:14 PM,okay,school | Milwuakee | < 15 mins on Instagram | Screen Time 3 Hours | lotion | floss | Sick | water goal | chest / core | gym | no sugary treats | prayer | Scripture | reading | gaming | tv show,"","Snow day school canceled | did homework most of day | feel sickness coming | Hogwarts game | finished walking dead "
2023-02-15,Feb 15,Wednesday,9:00 PM,okay,friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | Lip Health | water goal | no sugary treats | prayer | Free Style | reading | gaming | tv show,"","RCIA | laundry | didn’t like reading about greed | virtues and vices class was going well until prof called me out in front of whole class; that put me down for rest of day | Hogwarts game | Chipotle from Mom * | log rolling meeting; was very quiet "
2023-02-14,Feb 14,Tuesday,11:39 PM,Solid,work | friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 4 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | gym | Log Rolling | prayer | Clean Mind Day and Night | Scripture | reading | gaming,"","Valentine’s Day | test in COEN got out early | went over to Varsity gave Emily and hung out with her and Sophie for a bit * | work | saw Sophie after and it hurt a little | played a little Hogwarts Legacy | super tired in database class | log rolling was fun; good time with Sara | walked Sara back | want someone to love "
2023-02-13,Feb 13,Monday,9:22 PM,okay,friends | school | Milwuakee | Screen Time 6 Hours | lotion | floss | water goal | biking | chest / core | gym | prayer | Clean Mind Day and Night | Free Style | reading | tv show,"","Sophie texted me about World Youth Day then that made me anxious for a bit | went on short bike ride * | lunch with Gabriella | had to present in theology class; Emma wasn’t in class | walked back to apt with Ana | carried desktop home | ton of issues can’t get desktop working | called uncle Steve finally got it to work"
2023-02-12,Feb 12,Sunday,10:27 PM,Solid,friends | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | church | prayer | Clean Mind Day and Night | Scripture | tv show | Watched Sports,"","8 am mass with Sara and Will | lark gym | call with Sherry | Super Bowl party | went to room at half time | chiefs won the Super Bowl *"
2023-02-11,Feb 11,Saturday,9:57 PM,good,friends | movie | Milwuakee | < 15 mins on Instagram | Grocery Store | Screen Time 4 Hours | lotion | floss | water goal | biking | chest / core | gym | Other Sports | mountain dew | prayer | Clean Mind Day and Night | Conversation with God | melatonin  | reading | tv show,"","Mom called but lied about not being sad | bus ride was really good time with God | went to spot Sophie broke up with me and cried a little | taking the MTD Sat pic with Burger King lifted me up | Walmart and talked to Spectrum guy | Chick-fil-A | Jude got me a mic | got bike from Kyle and it’s really nice | football and soccer with Connor and Ian | watched The Menu"
2023-02-10,Feb 10,Friday,8:00 PM,meh,work | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | chest / core | gym | no sugary treats | church | prayer | Clean Mind Day and Night | Free Style | tv show,"","New Academic album came out | felt really sad about breakup with Sophie | “right where you left me” | couldn’t focus in class | super anxious almost all day even shaking | computer shipment got delayed until Monday and that really upset me | shaking on my bed before friends over | didn’t eat dinner | games with friends and win spoons/spot it | talked with Connor and Ian after | most of day sucked but hanging out with friends was solid | chose not to drink because I’m worried it will make me more depressed/anxious "
2023-02-09,Feb 9,Thursday,10:19 PM,okay,work | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | prayer | Church group | Scripture | reading,"","Got drenched from rain | No wifi at work | finished colloquy paper; very thorough | monitor came and got that set up | hung out with Tess * | she gave me a really cool mug with my email signature "
2023-02-08,Feb 8,Wednesday,8:45 PM,Solid,friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | Lip Health | water goal | no sugary treats | Dinner with friends  | prayer | Church group | Clean Mind Day and Night | Scripture | reading,"","Memories from date when passing Schroeder | RCIA with Steve and Connor | talked to father Ramano about spiritual direction and it’s official | enjoyed virtues and vices with Sara Emma and Claire * | graphics card came | lumberjack history event | Ignite about refugees | tired "
2023-02-07,Feb 7,Tuesday,9:54 PM,okay,work | school | Milwuakee | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | no sugary treats | prayer | Clean Mind Day and Night | Conversation with God | reading | tv show,"","Discerned I want to do the spiritual exercises | texted Sophie about it | tired all day and didn’t pay attention in classes | dming Jude about his failed crush | feel a little guilty for not going to log rolling "
2023-02-06,Feb 6,Monday,10:24 PM,Solid,friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | chest / core | gym | Log Rolling | no sugary treats | church | prayer | Spiritual Direction | Reflection | reading,"","Sarah from campus min said I should do the spiritual exercises | Dropped algorithms class | got permission for my COEN class to count for CS credit | noon mass | participated a lot in Theo class and teacher complimented me saying I should be a Theo major * | spiritual direction with Steve | Marquette 4 Life meeting | Maher told me I should join knights of Columbus | log rolling; did a bunch of skill challenges | walk back with Sydney and Anika *"
2023-02-05,Feb 5,Sunday,8:07 PM,okay,friends | Milwuakee | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | no sugary treats | church | prayer | Clean Mind Day and Night | Journaling | tv show,"","Almost cried before mass cuz I was alone but then Sara came * | Connor helped me take bike to Kyle to get it fixed | Sophie and Connor not official yet | feel guilty for not seeing Sophie much | ice skating sucked; feet hurt and faded into background | stopped skating early sat alone then Maeve sat away from me | found out Anika wanted to come to my b-day party and I felt guilty so I invited her on the bus | phone call with Katie then later with Grandma | sad mood night "
2023-02-04,Feb 4,Saturday,8:55 PM,meh,work | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | gym | mountain dew | church | prayer | Clean Mind Day and Night | Religious Meditation | reading | tv show,"","Bus to see sunset and seaside which was nice * | lark gym | morning mass | stressed about birthday planning with Gabriella | national Marquette day | didn’t get hw done during work | trying to withdraw from algorithms | Dad shipped desktop but it was really expensive | felt awful during some of work and getting back | don’t feel like I have any close relationships | cried a little in bed "
2023-02-03,Feb 3,Friday,9:49 PM,okay,work | family | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | gym | no sugary treats | prayer | Church group | Clean Mind Day and Night | Scripture | melatonin  | reading | tv show,"","Hung out in campus min | RCIA with Connor and Steve | lunch with Gabriella | read about Temperance * | FaceTimed Katie for a little while she was doing math "
2023-02-02,Feb 2,Thursday,10:49 PM,okay,work | friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | Lip Health | Advil | water goal | chest / core | gym | prayer | Church group | Scripture | reading,"","Presentation in class | regular expression hw | RCIA team meeting * | slushees with Tess and talking + Jon"
2023-02-01,Feb 1,Wednesday,9:07 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Advil | water goal | no sugary treats | prayer | Clean Mind Day and Night | Scripture | reading | tv show,"","Slept in | algorithm class canceled | Theo class with Sara and Emma was fun * | followed Emma on Instagram | Will took me to pick up keyboard in West Allis | papa Johns alone in apartment | ordered monitor "
2023-01-31,Jan 31,Tuesday,11:46 PM,okay,work | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Advil | water goal | chest / core | gym | Log Rolling | no sugary treats | prayer | Clean Mind Day and Night | Conversation with God | tv show,"","-6 in morning | limping from gym because strained hip flexor | PT at Med Clinic * | Facebook market place found keyboard | log rolling; felt isolated | won our mini tournament just barely | Sara not living at 523 | noticing I’m closing myself off again | sad"
2023-01-30,Jan 30,Monday,10:45 PM,Solid,school | Milwuakee | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | Pickle Ball | no sugary treats | prayer | Clean Mind Day and Night | Scripture | reading,"","Cold weather | lunch with Gabriella | withdrawing from World Youth Day | enjoyed Theo class with Sara and Emma | feeling pessimistic and miss Sophie’s friendship | Greg took me to play Pickleball which was really fun * | hip hurts "
2023-01-29,Jan 29,Sunday,9:33 PM,okay,friends | Milwuakee | Grocery Store | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | Pickle Ball | no sugary treats | church | prayer | Clean Mind Day and Night | Free Style | melatonin  | reading | Watched Sports,"","8 am mass with Will | pickleball with Megan Molly and Jon *; dominated; silent keeping score to play longer | wore all white to blend in | 49ers vs Eagles made me super frustrated and was a bust of a game | Mary MJ Lily Tess Molly Megan and Kate came over to watch Bengals Chiefs game’s | felt sad in bed"
2023-01-28,Jan 28,Saturday,8:26 PM,okay,work | Milwuakee | Screen Time 3 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | mountain dew | church | prayer | Clean Mind Day and Night | Scripture | reading | tv show,"","Warmest 19 degrees ever | Jon’s friend slept on couch | 10 am mass with Tess and Will | Lark work for 5 hours | made spaghetti | little night walk in snow | melancholy "
2023-01-27,Jan 27,Friday,9:14 PM,okay,work | school | Milwuakee | Screen Time 4 Hours | lotion | floss | water goal | chest / core | gym | no sugary treats | prayer | Clean Mind Day and Night | Scripture | reading | tv show,"","Idea to make database with betting stats | paid for retreat | walked out of algorithms class cuz the TA just played a video * | spent over 4 hours on database assignment | watched walking dead | Marco said a homeless guy asked if he knew a Donny Robbins"
2023-01-26,Jan 26,Thursday,10:00 PM,okay,work | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | prayer | Church group | Clean Mind Day and Night | Scripture | reading,"","Kept getting delayed going to gym | group made for big data class | housing stipend from NM so I changed my lease | research packaging for desktop | talked to Kyle about fixing my bike | 7/11 and talked to Tess"
2023-01-25,Jan 25,Wednesday,8:56 PM,meh,friends | school | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | no sugary treats | Dinner with friends  | prayer | Church group | Clean Mind Day and Night | Conversation with God | reading | tv show,"","Snow | frustrated about desktop taking so long | went back to room after class but Jon was sleeping which was frustrating and stressful | tried cleaning bike gears but broke something instead | ignite about relationships | take away is I’m doing the right things | felt bitter after "
2023-01-24,Jan 24,Tuesday,11:32 PM,okay,work | friends | school | Milwuakee | Screen Time 6 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Log Rolling | no sugary treats | prayer | Clean Mind Day and Night | Conversation with God | reading | tv show,"","Intense dream | ice cold shower which pissed me off | liked big data class | frustrated at work researching betting model | didn’t like database class | log rolling; hung out with Sara and Sidney; boom running | walked Sara back "
2023-01-23,Jan 23,Monday,10:27 PM,Solid,friends | school | Milwuakee | Screen Time 4 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Log Rolling | no sugary treats | Dinner with friends  | prayer | Spiritual Direction | Clean Mind Day and Night | Scripture | reading,"","I like Dr.Pantone | talked to Sara during class; she seems to not be doing great | spiritual direction with Steve; “I’m glad I was sitting down for that” * | chat with Peter about Bible study then dinner at commons with him * | log rolling practice; started scorecards; mostly hung out with Maeve and Sophie "
2023-01-22,Jan 22,Sunday,9:33 PM,Solid,friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | no sugary treats | church | prayer | Clean Mind Day and Night | Reflection | reading | Watched Sports,"","8 am mass with Sara & Will | Sara had a bad night and left mass early | memories from pre school and elementary during mass | lark gym | called Sebastian | sports gambling model on Google sheets | Bengals beat Bills * | watched 49ers Cowboys with Jon | Alphonsus really good read"
2023-01-21,Jan 21,Saturday,8:50 PM,okay,friends | Milwuakee | < 15 mins on Instagram | Screen Time 5 Hours | lotion | floss | Lip Health | water goal | chest / core | gym | Spin Bike | mountain dew | Dinner with friends  | prayer | Clean Mind Day and Night | Conversation with God | reading | gaming | Watched Sports,"","Collectivo with Greg * | idea to make a betting model | watched football with Jon Connor and Ian | annex with Jon and Jerome | didn’t watch 2nd football game much cuz blowout "
2023-01-20,Jan 20,Friday,9:04 PM,okay,work | friends | school | Milwuakee | Screen Time 5 Hours | lotion | floss | water goal | chest / core | gym | no sugary treats | prayer | Scripture | reading | gaming | tv show,"","Library with Tess | lunch with Gabriella | birthday invites | hide away women was at the Lark and wasn’t leaving "
